# created 2023-10-23, epoch 2023-09-23
# station  n.points  offset[usec]  stdev[usec]
Gs   11    0.379   0.002
Hb    5    2.217   0.006
Is   16    1.336   0.030
K2   28    0.468   0.006
Mg   20    0.215   0.008
Oe   19    6.211   0.001
Ow   13    6.181   0.001
Wf    6    0.619   0.021
Ws   21    1.527   0.007
Yj   27   -0.099   0.014
